PlayerID,Player,Team,G,GS,QS,CG,SHO,IP,W,L,H,HR,ER,BB,K,HLD,SV,BS,ERA,WHIP,K/9,BB/9,K/BB,HR/9
20347,Alex Carrillo,NYM,24,0,0,0,0,26,1,3,23,4,13,9,22,0,0,0,4.50,1.23,7.62,3.12,2.44,1.38
15677,Gerardo Carrillo,ARI,0,0,0,0,0,1,0,0,1,0,0.57,0.48,0.93,0,0,0,5.14,1.49,8.33,4.34,1.92,0.00
19723,Greysen Carter,NYY,0,0,0,0,0,1,0,0,1.05,0,1.09,2.1,0.69,0,0,0,9.79,3.15,6.19,18.90,0.33,0.00
17403,Irv Carter,TOR,0,0,0,0,0,1,0,0,1.28,0,1.01,0.76,0.76,0,0,0,9.12,2.04,6.88,6.88,1.00,0.00
18274,Ross Carver,CLE,0,0,0,0,0,1,0,0,1.08,0,0.76,0.63,0.86,0,0,0,6.86,1.71,7.71,5.71,1.35,0.00
19466,Luichi Casilla,COL,0,0,0,0,0,1,0,0,1.45,0,1.9,1.88,0.93,0,0,0,17.10,3.33,8.33,16.88,0.49,0.00
19579,Conrad Cason,BOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
17451,Ben Casparius,LAD,45,0,0,0,0,49,1,0,45,4,20,17,47,0,0,0,3.67,1.27,8.63,3.12,2.76,0.73
17846,Victor Castaneda,FA,0,0,0,0,0,1,0,0,1.06,0,0.64,0.51,0.91,0,0,0,5.80,1.57,8.17,4.58,1.78,0.00
19921,Blas Castano,SEA,9,0,0,0,0,10,1,0,8,2,4,3,8,0,0,0,3.60,1.10,7.20,2.70,2.67,1.80
19744,Eiberson Castellano,COL,0,0,0,0,0,1,0,0,1.16,0,0.81,0.59,0.91,0,0,0,7.25,1.75,8.17,5.29,1.54,0.00
17082,Humberto Castellanos,FA,0,0,0,0,0,1,0,0,0.96,0,0.56,0.45,0.81,0,0,0,5.07,1.41,7.25,4.08,1.78,0.00
15605,Starlyn Castillo,FA,0,0,0,0,0,1,0,0,1.34,0,1.12,1.04,0.75,0,0,0,10.07,2.37,6.75,9.33,0.72,0.00
15259,Diego Castillo,COL,0,0,0,0,0,1,0,0,1.03,0,0.62,0.64,0.92,0,0,0,5.59,1.66,8.24,5.73,1.44,0.00
15193,Max Castillo,FA,0,0,0,0,0,1,0,0,1.1,0,0.67,0.44,0.78,0,0,0,6.07,1.54,7.05,3.92,1.80,0.00
13702,Jose Castillo,FA,0,0,0,0,0,1,0,0,1,0,0.5,0.42,0.97,0,0,0,4.50,1.42,8.73,3.79,2.30,0.00
14495,Luis Castillo,SEA,29,29,17,0,0,175,11,12,160,25,71,46,163,0,0,0,3.65,1.18,8.38,2.37,3.54,1.29
19899,Rayner Castillo,DET,0,0,0,0,0,1,0,0,1.23,0,0.97,0.77,0.64,0,0,0,8.76,2.00,5.78,6.97,0.83,0.00
18224,Luis F. Castillo,FA,0,0,0,0,0,1,0,0,1.01,0,0.52,0.4,0.92,0,0,0,4.72,1.41,8.24,3.59,2.29,0.00
20558,Brayan Castillo,COL,0,0,0,0,0,1,0,0,0.97,0,0.68,0.76,0.88,0,0,0,6.08,1.73,7.91,6.88,1.15,0.00
20087,Manuel Castro,SD,0,0,0,0,0,1,0,0,1.04,0,0.66,0.62,0.94,0,0,0,5.92,1.66,8.43,5.58,1.51,0.00
13708,Miguel Castro,FA,24,0,0,0,0,24,2,2,21,3,12,9,19,0,0,1,4.50,1.25,7.13,3.38,2.11,1.13
17130,Kervin Castro,NYY,0,0,0,0,0,1,0,0,0.81,0,0.39,0.59,0.93,0,0,0,3.48,1.40,8.33,5.30,1.57,0.00
15448,Tim Cate,FA,0,0,0,0,0,1,0,0,1.11,0,0.75,0.66,0.86,0,0,0,6.71,1.77,7.70,5.97,1.29,0.00
19718,A.J. Causey,ATH,0,0,0,0,0,1,0,0,0.84,0,0.32,0.41,0.79,0,0,0,2.93,1.25,7.08,3.71,1.91,0.00
16074,Keoni Cavaco,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
16692,Cade Cavalli,WSH,24,24,6,0,0,137,7,9,138,19,63,45,113,0,0,0,4.14,1.34,7.42,2.96,2.51,1.25
19954,Argenis Cayama,SF,0,0,0,0,0,1,0,0,1.25,0,0.78,0.86,0.7,0,0,0,7.06,2.11,6.34,7.78,0.82,0.00
14062,Dylan Cease,TOR,29,29,11,0,0,174,9,10,149,19,75,70,213,0,0,0,3.88,1.26,11.02,3.62,3.04,0.98
20639,Jack Cebert,NYY,0,0,0,0,0,1,0,0,0.93,0,0.47,0.35,1,0,0,0,4.28,1.28,9.00,3.15,2.86,0.00
15450,Slade Cecconi,CLE,26,26,9,0,0,146,5,9,149,25,80,34,119,0,0,0,4.93,1.25,7.34,2.10,3.50,1.54
17530,Eric Cerantola,KC,0,0,0,0,0,1,0,0,0.92,0,0.59,0.77,1.02,0,0,0,5.28,1.69,9.14,6.97,1.31,0.00
17109,Joel Cesar,MIN,0,0,0,0,0,1,0,0,1.25,0,1.05,0.55,0.68,0,0,0,9.45,1.80,6.08,4.95,1.23,0.00
14021,Luis Cessa,FA,0,0,0,0,0,1,0,0,1.21,0,0.76,0.51,0.69,0,0,0,6.85,1.72,6.24,4.56,1.37,0.00
19374,Moises Chace,PHI,0,0,0,0,0,1,0,0,0.95,0,0.68,0.87,1.01,0,0,0,6.09,1.82,9.07,7.83,1.16,0.00
17169,Javier Chacon,SD,0,0,0,0,0,1,0,0,1.03,0,0.71,0.88,0.86,0,0,0,6.39,1.91,7.78,7.92,0.98,0.00
12155,Andrew Chafin,FA,48,0,0,0,0,48,2,4,41,5,19,21,47,10,2,2,3.56,1.29,8.81,3.94,2.24,0.94
19787,Yordin Chalas,ARI,0,0,0,0,0,1,0,0,1.21,0,0.82,0.74,0.84,0,0,0,7.40,1.95,7.59,6.62,1.15,0.00
13835,Dakota Chalmers,FA,0,0,0,0,0,1,0,0,0.98,0,1.03,1.18,1.15,0,0,0,9.22,2.15,10.35,10.58,0.98,0.00
16849,Christian Chamberlain,KC,0,0,0,0,0,1,0,0,0.84,0,0.63,1.16,0.98,0,0,0,5.70,2.00,8.86,10.44,0.85,0.00
