,,,,,2026 Batter Projections,,,,,,,2026 Pitcher Projections,,,,,,
Value,Player,Age,Team,Pos,G,AB,AVG,HR,RBI,SB,R,GS,IP,W,SV,K,ERA,WHIP
15.217196,Andres Munoz,27,SEA,RP,64,0,.000,0,0,0,0,0,64.0,4,38,71,2.95,1.109
14.63455,Dansby Swanson,32,CHC,SS,153,570,.244,21,75,17,83,0,0.0,0,0,0,0.00,0.000
14.483406,Wyatt Langford,25,TEX,OF,142,524,.246,20,71,21,77,0,0.0,0,0,0,0.00,0.000
14.470531,Nico Hoerner,29,CHC,2B,146,556,.284,7,54,30,84,0,0.0,0,0,0,0.00,0.000
14.436773,Teoscar Hernandez,34,LAD,OF,133,520,.256,26,87,7,67,0,0.0,0,0,0,0.00,0.000
14.321274,Shohei Ohtani,32,LAD,P,151,568,.296,50,105,31,126,25,137.0,9,0,161,3.28,1.022
14.256353,Jose Altuve,36,HOU,2B/OF/DH,139,541,.277,20,62,14,83,0,0.0,0,0,0,0.00,0.000
14.114196,Jesus Luzardo,29,PHI,SP,28,0,.000,0,0,0,0,28,172.0,12,0,185,3.66,1.174
14.003422,Maikel Garcia,26,KC,3B,150,571,.264,10,65,28,78,0,0.0,0,0,0,0.00,0.000
13.998981,Brandon Nimmo,33,TEX,OF,147,560,.254,23,75,11,81,0,0.0,0,0,0,0.00,0.000
13.911933,Jhoan Duran,28,PHI,RP,68,0,.000,0,0,0,0,0,68.0,5,35,73,3.18,1.147
13.807395,William Contreras,29,MIL,C/DH,148,532,.274,18,76,7,86,0,0.0,0,0,0,0.00,0.000
13.799104,George Kirby,28,SEA,SP,28,0,.000,0,0,0,0,28,167.0,12,0,165,3.77,1.108
13.790808,Jeremy Pena,29,HOU,SS,140,552,.283,15,63,19,75,0,0.0,0,0,0,0.00,0.000
13.695297,Yandy Diaz,35,TB,1B/DH,145,553,.300,21,75,1,74,0,0.0,0,0,0,0.00,0.000
13.683905,Cade Smith,27,CLE,RP,70,0,.000,0,0,0,0,0,70.0,4,28,86,2.83,1.000
13.461285,Kyle Bradish,30,BAL,SP,25,0,.000,0,0,0,0,25,140.0,9,0,161,3.09,1.093
13.362226,Alex Bregman,32,CHC,3B,149,566,.267,23,79,2,84,0,0.0,0,0,0,0.00,0.000
13.263764,Brandon Woodruff,33,MIL,SP,23,0,.000,0,0,0,0,23,131.0,9,0,142,3.23,0.992
13.009252,Taylor Ward,33,BAL,OF,148,551,.240,27,82,5,80,0,0.0,0,0,0,0.00,0.000
12.954618,Austin Riley,29,ATL,3B,147,573,.260,25,76,3,83,0,0.0,0,0,0,0.00,0.000
12.881413,Corey Seager,32,TEX,SS,126,469,.279,26,70,4,72,0,0.0,0,0,0,0.00,0.000
12.84695,Devin Williams,32,NYM,RP,67,0,.000,0,0,0,0,0,65.0,5,31,76,3.18,1.077
12.77793,Christian Walker,35,HOU,1B,138,523,.247,26,86,4,72,0,0.0,0,0,0,0.00,0.000
12.76444,Tanner Bibee,27,CLE,SP,29,0,.000,0,0,0,0,29,177.0,12,0,172,3.66,1.181
12.711282,Michael Busch,29,CHC,1B,137,506,.245,27,77,6,77,0,0.0,0,0,0,0.00,0.000
12.685283,Cade Horton,25,CHC,SP,23,0,.000,0,0,0,0,23,129.0,11,0,106,2.65,1.078
12.529821,Ben Rice,27,NYY,C/1B/DH,136,489,.239,28,80,5,75,0,0.0,0,0,0,0.00,0.000
12.528672,Tyler Glasnow,33,LAD,SP,23,0,.000,0,0,0,0,23,136.0,8,0,168,3.38,1.044
12.261906,Blake Snell,34,LAD,SP,21,0,.000,0,0,0,0,21,123.0,9,0,156,2.63,1.163
12.168078,Andrew Abbott,27,CIN,SP,31,0,.000,0,0,0,0,31,179.0,12,0,165,3.37,1.235
